"id","product_id","imageThumb","imageSmall","createdDate","modifiedDate","createdBy"
"1","1032747580","https://product.hstatic.net/1000277297/product/1ao20424009_-_1qu10073838_ddb75e19f9cb47c2a996af488df67731_master.jpg","https://product.hstatic.net/1000277297/product/1ao20424009_-_1qu10073838_ddb75e19f9cb47c2a996af488df67731_master.jpg","2021-05-07 00:00:00","2021-05-07 00:00:00","TUẤN"
"2","1032747580","https://product.hstatic.net/1000277297/product/1ao20424009_-_1qu10073838__3__67e3c21e8565489d85eaf915329a3012_master.jpg","https://product.hstatic.net/1000277297/product/1ao20424009_-_1qu10073838__3__67e3c21e8565489d85eaf915329a3012_master.jpg","2021-05-07 00:00:00","2021-05-07 00:00:00","TUẤN"
"3","1032747580","https://product.hstatic.net/1000277297/product/1ao20424009_-_1qu10073838__4__36318f0300464f38bce12e5aff9c05f5_master.jpg","https://product.hstatic.net/1000277297/product/1ao20424009_-_1qu10073838__4__36318f0300464f38bce12e5aff9c05f5_master.jpg","2021-05-07 00:00:00","2021-05-07 00:00:00","TUẤN"
"4","1032747580","https://product.hstatic.net/1000277297/product/1ao20424009_-_1qu10073838__2__c10d80d2b74d46aca262b7f006f78722_master.jpg","https://product.hstatic.net/1000277297/product/1ao20424009_-_1qu10073838__2__c10d80d2b74d46aca262b7f006f78722_master.jpg","2021-05-07 00:00:00","2021-05-07 00:00:00","TUẤN"
"5","1032624125","https://product.hstatic.net/1000277297/product/1ts40213390_af721dba2bee43e5b9c39d28792bc6e2_master.jpg","https://product.hstatic.net/1000277297/product/1ts40213390_af721dba2bee43e5b9c39d28792bc6e2_master.jpg","2021-05-07 00:00:00","2021-05-07 00:00:00","TUẤN"
"6","1032624125","https://product.hstatic.net/1000277297/product/1ts40213390__2__7e6df4a667304833a3be685b44f08e9c_master.jpg","https://product.hstatic.net/1000277297/product/1ts40213390__2__7e6df4a667304833a3be685b44f08e9c_master.jpg","2021-05-07 00:00:00","2021-05-07 00:00:00","TUẤN"
"7","1031738641","https://product.hstatic.net/1000277297/product/1ao10029918_-_1cv10089893__5__cf412d835710417ba929b4396314ede2_master.jpg","https://product.hstatic.net/1000277297/product/1ao10029918_-_1cv10089893__5__cf412d835710417ba929b4396314ede2_master.jpg","2021-05-07 00:00:00","2021-05-07 00:00:00","TUẤN"
"8","1031738641","https://product.hstatic.net/1000277297/product/1ao10029918_-_1cv10089893__4__0886a929874547f994dad34b67106c0d_master.jpg","https://product.hstatic.net/1000277297/product/1ao10029918_-_1cv10089893__4__0886a929874547f994dad34b67106c0d_master.jpg","2021-05-07 00:00:00","2021-05-07 00:00:00","TUẤN"
"9","1031738641","https://product.hstatic.net/1000277297/product/1ao10029918_-_1cv10089893__2__b33ac441abe7436f82a4098f8770b2fe_master.jpg","https://product.hstatic.net/1000277297/product/1ao10029918_-_1cv10089893__2__b33ac441abe7436f82a4098f8770b2fe_master.jpg","2021-05-07 00:00:00","2021-05-07 00:00:00","TUẤN"
"10","1031738641","https://product.hstatic.net/1000277297/product/1ao10029918_-_1cv10089893__3__365196fb196143c9bfe438e9c819d4cf_master.jpg","https://product.hstatic.net/1000277297/product/1ao10029918_-_1cv10089893__3__365196fb196143c9bfe438e9c819d4cf_master.jpg","2021-05-07 00:00:00","2021-05-07 00:00:00","TUẤN"
"11","1028426822","https://product.hstatic.net/1000277297/product/0ao20922469_-_1cv10069931__5__15ecd41fc9ed49b38ec7d5fc8903d2a1_master.jpg","https://product.hstatic.net/1000277297/product/0ao20922469_-_1cv10069931__5__15ecd41fc9ed49b38ec7d5fc8903d2a1_master.jpg","2021-05-07 00:00:00","2021-05-07 00:00:00","TUẤN"
"12","1028426822","https://product.hstatic.net/1000277297/product/0ao20922469_-_1cv10069931__2__5e1a072ba59c4db5b233cfed36f5706c_master.jpg","https://product.hstatic.net/1000277297/product/0ao20922469_-_1cv10069931__2__5e1a072ba59c4db5b233cfed36f5706c_master.jpg","2021-05-07 00:00:00","2021-05-07 00:00:00","TUẤN"
"13","1028426822","https://product.hstatic.net/1000277297/product/0ao20922469_-_1cv10069931_9b1dfae8d82d4f45bddbe985a8b421f9_master.jpg","https://product.hstatic.net/1000277297/product/0ao20922469_-_1cv10069931_9b1dfae8d82d4f45bddbe985a8b421f9_master.jpg","2021-05-07 00:00:00","2021-05-07 00:00:00","TUẤN"
